sep=,
Iteration,Best Fitness,Average Fitness,Best Fitness Percentage
0,128.0,113.53,79.01234567901234
1,128.0,120.82833333333333,79.01234567901234
2,132.0,124.785,81.48148148148148
3,134.0,127.97333333333333,82.71604938271605
4,136.0,130.80833333333334,83.9506172839506
5,137.0,133.39166666666668,84.5679012345679
6,139.0,135.34666666666666,85.80246913580247
7,143.0,137.24,88.27160493827161
8,143.0,139.37,88.27160493827161
9,144.0,141.10833333333332,88.88888888888889
10,147.0,142.40333333333334,90.74074074074075
11,148.0,143.65666666666667,91.35802469135803
12,149.0,144.89833333333334,91.9753086419753
13,149.0,146.31333333333333,91.9753086419753
14,151.0,147.85166666666666,93.20987654320987
15,152.0,149.00333333333333,93.82716049382715
16,152.0,150.11666666666667,93.82716049382715
17,154.0,150.89,95.06172839506173
18,154.0,151.64,95.06172839506173
19,155.0,153.05,95.67901234567901
20,156.0,154.04666666666665,96.29629629629629
21,157.0,154.26,96.91358024691358
22,157.0,155.045,96.91358024691358
23,158.0,156.23666666666668,97.53086419753086
24,158.0,156.76666666666668,97.53086419753086
25,158.0,157.11666666666667,97.53086419753086
26,158.0,157.52166666666668,97.53086419753086
27,158.0,158.0,97.53086419753086
28,158.0,158.0,97.53086419753086
29,158.0,158.0,97.53086419753086
30,158.0,158.0,97.53086419753086
31,158.0,158.0,97.53086419753086
32,158.0,158.0,97.53086419753086
33,158.0,158.0,97.53086419753086
34,158.0,158.0,97.53086419753086
35,158.0,158.0,97.53086419753086
36,158.0,158.0,97.53086419753086
37,158.0,158.0,97.53086419753086
38,158.0,158.0,97.53086419753086
39,158.0,158.0,97.53086419753086
40,158.0,158.0,97.53086419753086
41,158.0,158.0,97.53086419753086
42,158.0,158.0,97.53086419753086
43,158.0,158.0,97.53086419753086
44,158.0,158.0,97.53086419753086
45,158.0,158.0,97.53086419753086
46,158.0,158.0,97.53086419753086
47,158.0,158.0,97.53086419753086
48,158.0,158.0,97.53086419753086
49,158.0,158.0,97.53086419753086
50,158.0,158.0,97.53086419753086
51,158.0,158.0,97.53086419753086
52,158.0,158.0,97.53086419753086
53,158.0,158.0,97.53086419753086
54,158.0,158.0,97.53086419753086
55,158.0,158.0,97.53086419753086
56,158.0,158.0,97.53086419753086
57,158.0,158.0,97.53086419753086
58,158.0,158.0,97.53086419753086
59,158.0,158.0,97.53086419753086
60,158.0,158.0,97.53086419753086
61,158.0,158.0,97.53086419753086
62,158.0,158.0,97.53086419753086
63,158.0,158.0,97.53086419753086
64,158.0,158.0,97.53086419753086
65,158.0,158.0,97.53086419753086
66,158.0,158.0,97.53086419753086
67,158.0,158.0,97.53086419753086
68,158.0,158.0,97.53086419753086
69,158.0,158.0,97.53086419753086
70,158.0,158.0,97.53086419753086
71,158.0,158.0,97.53086419753086
72,158.0,158.0,97.53086419753086
73,158.0,158.0,97.53086419753086
74,158.0,158.0,97.53086419753086
75,158.0,158.0,97.53086419753086
76,158.0,158.0,97.53086419753086
77,158.0,158.0,97.53086419753086
78,158.0,158.0,97.53086419753086
79,158.0,158.0,97.53086419753086
80,158.0,158.0,97.53086419753086
81,158.0,158.0,97.53086419753086
82,158.0,158.0,97.53086419753086
83,158.0,158.0,97.53086419753086
84,158.0,158.0,97.53086419753086
85,158.0,158.0,97.53086419753086
86,158.0,158.0,97.53086419753086
87,158.0,158.0,97.53086419753086
88,158.0,158.0,97.53086419753086
89,158.0,158.0,97.53086419753086
90,158.0,158.0,97.53086419753086
91,158.0,158.0,97.53086419753086
92,158.0,158.0,97.53086419753086
93,158.0,158.0,97.53086419753086
94,158.0,158.0,97.53086419753086
95,158.0,158.0,97.53086419753086
96,158.0,158.0,97.53086419753086
97,158.0,158.0,97.53086419753086
98,158.0,158.0,97.53086419753086
99,158.0,158.0,97.53086419753086
100,158.0,158.0,97.53086419753086
101,158.0,158.0,97.53086419753086
102,158.0,158.0,97.53086419753086
103,158.0,158.0,97.53086419753086
104,158.0,158.0,97.53086419753086
105,158.0,158.0,97.53086419753086
106,158.0,158.0,97.53086419753086
107,158.0,158.0,97.53086419753086
108,158.0,158.0,97.53086419753086
109,158.0,158.0,97.53086419753086
110,158.0,158.0,97.53086419753086
111,158.0,158.0,97.53086419753086
112,158.0,158.0,97.53086419753086
113,158.0,158.0,97.53086419753086
114,158.0,158.0,97.53086419753086
115,158.0,158.0,97.53086419753086
116,158.0,158.0,97.53086419753086
117,158.0,158.0,97.53086419753086
118,158.0,158.0,97.53086419753086
119,158.0,158.0,97.53086419753086
120,158.0,158.0,97.53086419753086
121,158.0,158.0,97.53086419753086
122,160.0,158.00666666666666,98.76543209876543
123,160.0,158.02666666666667,98.76543209876543
124,160.0,158.10666666666665,98.76543209876543
125,160.0,158.46,98.76543209876543
126,160.0,159.48333333333332,98.76543209876543
127,160.0,160.0,98.76543209876543
128,160.0,160.0,98.76543209876543
129,160.0,160.0,98.76543209876543
130,160.0,160.0,98.76543209876543
131,160.0,160.0,98.76543209876543
132,160.0,160.0,98.76543209876543
133,160.0,160.0,98.76543209876543
